Scientific_Name,No_of_plants,Habit,Family,Species_distribution,Conservation_status ,Endemic
Buddleja asiatica Lour.,40,Shrub,Scrophulariaceae,N,LC,Non Endemic
Bursera linanoe (La Llave) Rzed.,14,Tree,Burseraceae,E,VU,Non Endemic
Butea monosperma (Lam.) Taub.,775,Tree,Fabaceae,N,LC,Non Endemic
Caesalpinia pulcherrima (L.) Sw.,8908,Shrub,Fabaceae,E,LC,Non Endemic
Caesalpinia sappan L.,88,Tree,Fabaceae,N,LC,Non Endemic
Callicarpa tomentosa (L.) L.,15,Tree,Lamiaceae,N,NE,Non Endemic
Calophyllum apetalum Willd.,660,Tree,Clusiaceae,N,VU,Endemic
Calophyllum inophyllum L.,1058,Tree,Clusiaceae,N,LC,Non Endemic
Calotropis gigantea (L.) Dryand.,107,Shrub,Apocynaceae,N,NE,Non Endemic
Cananga odorata (Lam.) Hook.f. & Thomson,50,Tree,Annonaceae,E,LC,Non Endemic
Canarium strictum Roxb.,114,Tree,Burseraceae,N,NE,Non Endemic
Canthium coromandelicum (Burm.f.) Alston,25,Shrub,Rubiaceae,N,NE,Non Endemic
Carallia brachiata (Lour.) Merr.,5173,Tree,Rhizophoraceae,N,NE,Non Endemic
Careya arborea Roxb.,2021,Tree,Lecythidaceae,N,NE,Non Endemic
Carica papaya L.,249,Tree,Caricaceae,E,DD,Non Endemic
Carissa spinarum L.,23,Shrub,Apocynaceae,N,LC,Non Endemic
Cascabela thevetia (L.) Lippold,1861,Shrub,Apocynaceae,E,LC,Non Endemic
Cassia fistula L.,394,Tree,Fabaceae,N,LC,Non Endemic
Cassia grandis L.f.,2,Tree,Fabaceae,E,LC,Non Endemic
Cassia javanica L.,50,Tree,Fabaceae,E,LC,Non Endemic
Catunaregam spinosa (Thunb.) Tirveng.,44,Tree,Rubiaceae,N,NE,Non Endemic
Cedrus deodara (Roxb. ex D.Don) G.Don,14,Tree,Pinaceae,N,LC,Non Endemic
Ceiba pentandra (L.) Gaertn.,253,Tree,Malvaceae,E,LC,Non Endemic
Ceiba speciosa (A.St.-Hil.) Ravenna,1,Tree,Malvaceae,E,NE,Non Endemic
Celtis timorensis Span.,44,Tree,Cannabaceae,N,LC,Non Endemic
Chassalia curviflora (Wall.) Thwaites,23,Shrub,Rubiaceae,N,NE,Non Endemic
Chionanthus mala-elengi (Dennst.) P.S.Green,12,Tree,Oleaceae,N,NE,Non Endemic
Chrysophyllum cainito L.,86,Tree,Sapotaceae,E,NE,Non Endemic
Chukrasia tabularis A.Juss.,474,Tree,Meliaceae,N,LC,Non Endemic
Cinnamomum camphora (L.) J.Presl,30,Tree,Lauraceae,E,NE,Non Endemic
Cinnamomum iners Reinw. ex Blume,60,Tree,Lauraceae,N,LC,Non Endemic
Cinnamomum malabatrum (Burm.f.) J.Presl,255,Tree,Lauraceae,N,LC,Endemic
Cinnamomum sulphuratum Nees,56,Tree,Lauraceae,N,VU,Endemic
Cinnamomum tamala (Buch.-Ham.) T.Nees & Eberm.,50,Tree,Lauraceae,N,LC,Non Endemic
Cinnamomum verum J.Presl,1906,Tree,Lauraceae,N,NE,Non Endemic
Citharexylum spinosum L.,15,Tree,Verbenaceae,E,LC,Non Endemic
Citrus aurantiifolia (Christm.) Swingle,1802,Tree,Rutaceae,E,NE,Non Endemic
Citrus aurantium L.,181,Tree,Rutaceae,E,NE,Non Endemic
Citrus limon (L.) Burm. f.,2516,Tree,Rutaceae,N,NE,Non Endemic
Citrus maxima (Burm.) Osbeck,375,Tree,Rutaceae,N,LC,Non Endemic
Citrus reticulata Blanco,240,Tree,Rutaceae,E,NE,Non Endemic
Citrus sinensis (L.) Osbeck,66,Tree,Rutaceae,E,NE,Non Endemic
Clausena anisata (Wiild.) Hook.f.ex Benth.,30,Tree,Rutaceae,N,LC,Non Endemic
Clausena heptaphylla (Roxb.) Wight & Arn.,12,Shrub,Rutaceae,N,NE,Non Endemic
Clerodendrum chinense (Osbeck) Mabb.,11,Shrub,Lamiaceae,E,LC,Non Endemic
Clerodendrum infortunatum L.,149,Shrub,Lamiaceae,N,NE,Non Endemic
Clerodendrum paniculatum L.,4834,Shrub,Lamiaceae,E,NE,Non Endemic
Clitoria arborea Benth.,1,Tree,Fabaceae,E,LC,Non Endemic
Cochlospermum religiosum (L.) Alston,46,Tree,Bixaceae,N,NE,Non Endemic
Cola nitida (Vent.) Schott & Endl. ,20,Tree,Malvaceae,E,LC,Non Endemic
Commiphora caudata (Wight & Arn.) Engl.,50,Tree,Burseraceae,N,NE,Non Endemic
Commiphora wightii (Arn.) Bhandari,42,Shrub,Burseraceae,N,CR,Non Endemic
Cordia alliodora (Ruiz & Pav.) Oken,358,Tree,Boraginaceae,E,LC,Non Endemic
Cordia dichotoma G.Forst.,116,Tree,Boraginaceae,N,LC,Non Endemic
Cordia sebestena L.,20,Tree,Boraginaceae,E,LC,Non Endemic
Couroupita guianensis Aubl.,247,Tree,Lecythidaceae,E,LC,Non Endemic
Crateva religiosa G.Forst.,55,Tree,Capparaceae,N,LC,Non Endemic
Crescentia cujete L.,72,Tree,Bignoniaceae,E,LC,Non Endemic
Croton tiglium L.,10,Tree,Euphorbiaceae,N,LC,Non Endemic
Cullenia exarillata A.Robyns,38,Tree,Malvaceae,N,NE,Endemic
Cynometra travancorica Bedd.,3,Tree,Fabaceae,N,EN,Endemic
Dalbergia latifolia Roxb.,4322,Tree,Fabaceae,N,VU,Non Endemic
Dalbergia sissoo DC.,705,Tree,Fabaceae,N,LC,Non Endemic
Delonix regia (Hook.) Raf.,62,Tree,Fabaceae,E,LC,Non Endemic
Dendrolobium triangulare (Retz.) Schindl.,10,Shrub,Fabaceae,N,NE,Non Endemic
Dillenia indica L.,205,Tree,Dilleniaceae,N,LC,Non Endemic
Dillenia pentagyna Roxb.,84,Tree,Dilleniaceae,N,NE,Non Endemic
Dillenia suffruticosa (Griff.) Martelli,1,Shrub,Dilleniaceae,E,NE,Non Endemic
Dimocarpus longan Lour.,19,Tree,Sapindaceae,N,NT,Non Endemic
Diospyros buxifolia (Blume) Hiern,57,Tree,Ebenaceae,N,NE,Non Endemic
Diospyros candolleana Wight,10,Tree,Ebenaceae,N,VU,Endemic
Diospyros crumenata Thwaites,772,Tree,Ebenaceae,N,EN,Non Endemic
Diospyros discolor Willd.,200,Tree,Ebenaceae,E,NE,Non Endemic
Diospyros ebenum J.Koenig ex Retz.,60,Tree,Ebenaceae,N,DD,Non Endemic
Diospyros malabarica (Desr.) Kostel.,41,Tree,Ebenaceae,N,NE,Non Endemic
Diospyros melanoxylon Roxb.,36,Tree,Ebenaceae,N,NE,Non Endemic
Diospyros oocarpa Thwaites,41,Tree,Ebenaceae,N,NE,Non Endemic
Diospyros sylvatica Roxb.,294,Tree,Ebenaceae,N,NE,Non Endemic
Diospyros vera (Lour.) A.Chev.,10,Tree,Ebenaceae,N,NE,Non Endemic
Dipterocarpus bourdillonii Brandis,45,Tree,Dipterocarpaceae,N,CR,Endemic
Dipterocarpus indicus Bedd.,10,Tree,Dipterocarpaceae,N,EN,Endemic
Dysoxylum malabaricum Bedd. ex C.DC.,50,Tree,Meliaceae,N,EN,Endemic
Elaeocarpus floribundus Blume,18,Tree,Elaeocarpaceae,N,NE,Non Endemic
Elaeocarpus serratus L.,115,Tree,Elaeocarpaceae,N,NE,Non Endemic
Elaeocarpus tuberculatus Roxb.,46,Tree,Elaeocarpaceae,N,NE,Non Endemic
Elaeocarpus variabilis Zmarzty,2,Tree,Elaeocarpaceae,N,NE,Endemic
Enterolobium cyclocarpum (Jacq.) Griseb.,60,Tree,Fabaceae,E,LC,Non Endemic
Eriobotrya japonica (Thunb.) Lindl.,36,Tree,Rosaceae,E,NE,Non Endemic
Erythrina variegata L.,206,Tree,Fabaceae,N,LC,Non Endemic
Eugenia codyensis Munro ex Wight,1906,Tree,Myrtaceae,N,NE,Non Endemic
Eugenia uniflora L.,12,Shrub,Myrtaceae,E,NE,Non Endemic
Euonymus dichotomus B.Heyne ex Wall.,2,Tree,Celastraceae,N,NE,Endemic
Euonymus indicus B.Heyne ex Wall.,10,Tree,Celastraceae,N,LC,Endemic
Falconeria insignis Royle,835,Tree,Euphorbiaceae,N,NE,Non Endemic
Fernandoa adenophylla (Wall. ex G.Don) Steenis,34,Tree,Bignoniaceae,N,NE,Non Endemic
Ficus amplissima Smith,50,Tree,Moraceae,N,NE,Non Endemic
Ficus arnottiana (Miq.) Miq.,404,Tree,Moraceae,N,NE,Non Endemic
Ficus auriculata Lour.,109,Tree,Moraceae,N,LC,Non Endemic
Ficus benghalensis L.,168,Tree,Moraceae,N,NE,Non Endemic
