Scientific_Name,No_of_plants,Habit,Family,Species_distribution,Conservation_status ,Endemic
Pinus roxburghii Sarg.,42,Tree,Pinaceae,N,LC,Non Endemic
Pisonia umbellifera (J.R. Forst. & G.Forst.) Seem.,18,Tree,Nyctaginaceae,N,LC,Non Endemic
Pithecellobium dulce (Roxb.) Benth.,96,Tree,Fabaceae,E,LC,Non Endemic
Pittosporum dasycaulon Miq.,30,Tree,Pittosporaceae,N,NE,Endemic
Pittosporum napaulense (DC.) Rehder & E.H.Wilson,57,Shrub,Pittosporaceae,N,NE,Non Endemic
Plinia cauliflora (Mart.) Kausel,5,Tree,Myrtaceae,E,LC,Non Endemic
Plumeria obtusa L.,186,Tree,Apocynaceae,E,LC,Non Endemic
Plumeria rubra L.,28,Tree,Apocynaceae,E,LC,Non Endemic
Polyalthia coffeoides (Thwaites) Hook.f. & Thomson,25,Tree,Annonaceae,N,NE,Non Endemic
Polyalthia fragrans (Dalzell) Benth. & Hook. f.,61,Tree,Annonaceae,N,NE,Endemic
Polyalthia longifolia (Sonn.) Thwaites,67,Tree,Annonaceae,N,NE,Non Endemic
Polyscias paniculata (DC.) Baker,1,Shrub,Araliaceae,E,CR,Non Endemic
Pongamia pinnata (L.) Pierre,3940,Tree,Fabaceae,N,LC,Non Endemic
Pouteria campechiana (Kunth) Baehni,123,Tree,Sapotaceae,E,LC,Non Endemic
Premna mollissima Roth,2,Tree,Lamiaceae,N,NE,Non Endemic
Premna serratifolia L.,708,Tree,Lamiaceae,N,NE,Non Endemic
Prunus persica (L.) Batsch,20,Tree,Rosaceae,E,NE,Non Endemic
Psidium cattleianum Afzel. ex Sabine,140,Tree,Myrtaceae,E,NE,Non Endemic
Psidium guajava L.,3317,Tree,Myrtaceae,E,LC,Non Endemic
Psychotria dalzellii Hook.f.,10,Shrub,Rubiaceae,N,NE,Endemic
Psychotria flavida Talbot,47,Shrub,Rubiaceae,N,NE,Endemic
Psydrax dicoccos Gaertn.,2,Tree,Rubiaceae,N,VU,Non Endemic
Psydrax umbellata (Wight) Bridson,48,Tree,Rubiaceae,N,NE,Non Endemic
Pterocarpus marsupium Roxb.,2274,Tree,Fabaceae,N,NT,Non Endemic
Pterocarpus santalinus L.f.,7495,Tree,Fabaceae,N,NT,Non Endemic
Pterospermum acerifolium (L.) Willd.,216,Tree,Malvaceae,N,LC,Non Endemic
Pterospermum diversifolium Blume,23,Tree,Malvaceae,N,LC,Non Endemic
Pterospermum reticulatum Wight & Arn.,10,Tree,Malvaceae,N,VU,Endemic
Pterospermum suberifolium (L.) Willd. ,14,Tree,Malvaceae,N,NE,Non Endemic
Pterospermum xylocarpum (Gaertn.) Santapau & Wagh,10,Tree,Malvaceae,N,NE,Non Endemic
Pterygota alata (Roxb.) R.Br.,837,Tree,Malvaceae,N,NE,Non Endemic
Punica granatum L.,250,Shrub,Lythraceae,E,LC,Non Endemic
Putranjiva roxburghii Wall.,785,Tree,Putranjivaceae,N,NE,Non Endemic
Quassia indica (Gaertn.) Noot.,52,Tree,Simaroubaceae,N,LC,Non Endemic
Rauvolfia serpentina (L.) Benth. ex Kurz,9,Shrub,Apocynaceae,N,NE,Non Endemic
Sageraea grandiflora Dunn,26,Tree,Annonaceae,N,EN,Endemic
Sambucus nigra L.,50,Shrub,Adoxaceae,E,LC,Non Endemic
Santalum album L.,14202,Tree,Santalaceae,N,VU,Non Endemic
Sapindus trifoliatus L.,815,Tree,Sapindaceae,N,NE,Non Endemic
Saraca asoca (Roxb.) Willd.,967,Tree,Fabaceae,N,VU,Non Endemic
Sauropus androgynus (L.) Merr.,22,Shrub,Phyllanthaceae,N,NE,Non Endemic
Scaevola taccada (Gaertn.) Roxb.,35,Shrub,Goodeniaceae,E,NE,Non Endemic
Schefflera actinophylla (Endl.) Harms,7,Tree,Araliaceae,E,LC,Non Endemic
Schefflera arboricola (Hayata) Merr.,7,Shrub,Araliaceae,E,NE,Non Endemic
Schleichera oleosa (Lour.) Merr.,7,Tree,Sapindaceae,N,LC,Non Endemic
Semecarpus anacardium L.f.,50,Tree,Anacardiaceae,N,NE,Non Endemic
Senna alata (L.) Roxb.,60,Shrub,Fabaceae,E,LC,Non Endemic
Senna siamea (Lam.) H.S.Irwin & Barneby,48,Tree,Fabaceae,N,LC,Non Endemic
Senna spectabilis (DC.) H.S.Irwin & Barneby,9,Tree,Fabaceae,E,LC,Non Endemic
Senna surattensis (Burm.f.) H.S.Irwin & Barneby,10,Shrub,Fabaceae,N,LC,Non Endemic
Sesbania grandiflora (L.) Pers.,14,Tree,Fabaceae,N,NE,Non Endemic
Shorea roxburghii G.Don,56,Tree,Dipterocarpaceae,N,VU,Non Endemic
Simarouba amara Aubl.,159,Tree,Simaroubaceae,E,LC,Non Endemic
Solanum diphyllum L.,23,Shrub,Solanaceae,E,NE,Non Endemic
Soymida febrifuga (Roxb.) Juss.,30,Tree,Meliaceae,N,NE,Non Endemic
Spathodea campanulata P.Beauv.,86,Tree,Bignoniaceae,E,LC,Non Endemic
Spondias dulcis Parkinson,261,Tree,Anacardiaceae,E,NE,Non Endemic
Spondias pinnata (L.f.) Kurz.,54,Tree,Anacardiaceae,N,NE,Non Endemic
Sterculia foetida L.,167,Tree,Malvaceae,N,NE,Non Endemic
Sterculia guttata Roxb. ex G.Don,54,Tree,Malvaceae,N,NE,Non Endemic
Stereospermum tetragonum DC.,67,Tree,Bignoniaceae,N,NE,Non Endemic
Strychnos nux-vomica L.,99,Tree,Loganiaceae,N,NE,Non Endemic
Strychnos potatorum L.f.,36,Tree,Loganiaceae,N,NE,Non Endemic
Swietenia macrophylla King,50,Tree,Meliaceae,E,VU,Non Endemic
Swietenia mahagoni (L.) Jacq.,997,Tree,Meliaceae,E,NT,Non Endemic
Symplocos cochinchinensis (Lour.) S.Moore,60,Tree,Symplocaceae,N,NE,Non Endemic
Symplocos racemosa Roxb.,26,Tree,Symplocaceae,N,NE,Non Endemic
Syzygium aqueum (Burm.f.) Alston,5,Tree,Myrtaceae,E,NE,Non Endemic
Syzygium aromaticum (L.) Merr. & Perry,94,Tree,Myrtaceae,E,NE,Non Endemic
Syzygium caryophyllatum (L.) Alston,81393,Tree,Myrtaceae,N,EN,Non Endemic
Syzygium chavaran (Bourd.) Gamble,58,Tree,Myrtaceae,N,EN,Endemic
Syzygium claviflorum (Roxb.) Wall. ex A.M.Cowan & Cowan,10,Tree,Myrtaceae,N,LC,Non Endemic
Syzygium cumini (L.) Skeels,6182,Tree,Myrtaceae,N,LC,Non Endemic
Syzygium gardneri Thwaites,36,Tree,Myrtaceae,N,NE,Non Endemic
Syzygium hemisphericum (Walp.) Alston,38,Tree,Myrtaceae,N,NE,Non Endemic
Syzygium jambos (L.) Alston,781,Tree,Myrtaceae,N,LC,Non Endemic
Syzygium laetum (Ham.) Gandhi,49,Tree,Myrtaceae,N,NE,Endemic
"Syzygium malaccense (L.) Merr. & L.M.Perry,",1131,Tree,Myrtaceae,E,LC,Non Endemic
Syzygium myhendrae (Bedd. ex Brandis) Gamble,31,Tree,Myrtaceae,N,EN,Endemic
Syzygium occidentale (Bourd.) D.N.Ghandhi,24,Tree,Myrtaceae,N,VU,Endemic
Syzygium samarangense (Blume) Merr. & L.M.Perry,3565,Tree,Myrtaceae,N,LC,Non Endemic
Syzygium travancoricum Gamble,637,Tree,Myrtaceae,N,CR,Endemic
Syzygium zeylanicum (L.) DC.,130,Tree,Myrtaceae,N,NE,Non Endemic
Tabebuia berteroi (A. DC.) Britton,76,Tree,Bignoniaceae,E,NE,Non Endemic
Tabebuia rosea (Bertol.) DC.,21,Tree,Bignoniaceae,E,LC,Non Endemic
Tabernaemontana alternifolia L.,4553,Tree,Apocynaceae,N,NT,Endemic
Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.,61,Shrub,Apocynaceae,N,LC,Non Endemic
Tamarindus indica L.,921,Tree,Fabaceae,E,LC,Non Endemic
Tamilnadia uliginosa (Retz.) Tirveng. & Sastre,50,Tree,Rubiaceae,N,NE,Non Endemic
Tecoma castanifolia (D.Don) Melch.,1451,Tree,Bignoniaceae,E,NE,Non Endemic
Tecoma fulva subsp. guarume (DC.) J.R.I.Wood,440,Shrub,Bignoniaceae,E,NE,Non Endemic
Tectona grandis L.f.,475,Tree,Lamiaceae,N,NE,Non Endemic
Terminalia arjuna (Roxb. ex DC.) Wight & Arn.,2039,Tree,Combretaceae,N,NE,Non Endemic
Terminalia bellirica (Gaertn.) Roxb.,1282,Tree,Combretaceae,N,NE,Non Endemic
Terminalia catappa L.,2656,Tree,Combretaceae,E,LC,Non Endemic
Terminalia chebula Retz.,454,Tree,Combretaceae,N,NE,Non Endemic
Terminalia elliptica Willd.,383,Tree,Combretaceae,N,NE,Non Endemic
Terminalia mantaly H.Perrier,110,Tree,Combretaceae,E,LC,Non Endemic
Terminalia paniculata Roth,13931,Tree,Combretaceae,N,NE,Non Endemic
Theobroma cacao L.,24,Tree,Malvaceae,E,NE,Non Endemic
Thespesia populnea (L.) Sol. ex Correa,245,Tree,Malvaceae,N,LC,Non Endemic
Toona ciliata M.Roem.,53,Tree,Meliaceae,N,LC,Non Endemic
Trema orientalis (L.) Blume,57,Tree,Cannabaceae,N,LC,Non Endemic
Vateria indica L.,3211,Tree,Dipterocarpaceae,N,VU,Endemic
Vatica chinensis L.,63,Tree,Dipterocarpaceae,N,CR,Non Endemic
Vepris bilocularis (Wight & Arn.) Engl.,56,Tree,Rutaceae,N,NE,Endemic
Vernicia fordii (Hemsl.) Airy Shaw,17,Tree,Euphorbiaceae,E,LC,Non Endemic
Vernonia amygdalina Delile,51,Shrub,?Asteraceae,E,NE,Non Endemic
Vitex altissima L.f.,235,Tree,Lamiaceae,N,NE,Non Endemic
Vitex leucoxylon L.f.,11,Tree,Lamiaceae,N,NE,Non Endemic
Vitex negundo L.,74,Tree,Lamiaceae,N,LC,Non Endemic
Walsura trifoliata (A.Juss.) Harms.,5,Tree,Meliaceae,N,NE,Non Endemic
Wrightia arborea (Dennst.) Mabb.,1,Tree,Apocynaceae,N,NE,Non Endemic
Wrightia tinctoria R.Br.,72,Tree,Apocynaceae,N,LC,Non Endemic
Xanthophyllum arnottianum Wight,22,Tree,Polygalaceae,N,NE,Endemic
Xantolis tomentosa (Roxb.) Raf.,26,Tree,Sapotaceae,N,NE,Non Endemic
Xylia xylocarpa (Roxb.) Taub.,122,Tree,Fabaceae,N,LC,Non Endemic
Zanthoxylum rhetsa DC.,2403,Tree,Rutaceae,N,LC,Non Endemic
Ziziphus jujuba Mill.,103,Tree,Rhamnaceae,N,LC,Non Endemic
Ziziphus rugosa Lam.,10,Shrub,Rhamnaceae,N,NE,Non Endemic
